metric_date,total_revenue,total_orders,avg_order_value
2026-06-24,2369.14,17,1282.08
2025-11-26,1650.43,6,2246.36
2026-06-14,2335.58,17,1997.51
2025-02-16,685.1,9,2088.35
2026-04-07,2101.41,10,1943.53
2025-08-25,1334.29,1,1783.32
2025-07-30,1245.33,10,764.34
2026-07-27,2482.85,14,1627.26
2026-02-16,1933.09,17,462.71
2026-03-04,1986.1,3,1091.32
2025-01-30,629.49,16,693.89
2025-05-21,1005.98,2,1343.76
2025-04-17,891.51,13,830.37
2025-03-08,754.1,18,2140.64
2026-01-12,1813.86,4,473.51
2024-11-03,328.69,19,1384.02
2026-02-06,1898.29,10,1125.32
2024-08-04,17.95,1,783.87
2025-02-11,667.23,19,1029.71
2025-12-28,1759.89,1,665.79
2024-09-21,179.71,16,2403.26
2025-03-01,731.12,20,1784.27
2024-10-27,302.95,4,832.44
2025-10-22,1533.53,22,111.45
2026-05-24,2262.41,4,959.35
2024-11-24,398.32,21,1035.86
2025-05-01,939.06,3,1872.54
2024-08-13,46.31,19,677.95
2026-05-21,2253.53,5,843.66
2024-11-17,376.69,22,541.07
2026-04-18,2140.85,10,1647.59
2026-05-28,2277.21,13,2429.72
2024-11-05,334.4,12,1195.77
2024-08-15,54.0,1,1558.9
2026-05-30,2282.82,8,1196.84
2025-09-07,1377.08,16,695.11
2025-09-12,1396.27,12,359.43
2025-07-29,1240.77,1,1565.56
2025-02-01,636.02,5,529.06
2026-05-12,2220.32,17,1311.71
2025-05-04,949.56,10,2452.6
2025-12-27,1756.76,3,1486.51
2025-04-22,908.41,3,611.14
2025-04-15,884.59,2,2119.48
2026-06-23,2365.23,15,1560.33
2025-10-28,1554.28,3,680.81
2024-08-11,39.26,4,1479.65
2025-11-21,1633.2,8,1172.3
2025-03-25,812.15,6,1164.07
2026-04-19,2144.68,20,1178.55
2025-11-14,1610.92,9,1022.23
2025-05-30,1038.69,16,1745.1
2026-07-06,2409.15,18,2048.2
2025-09-10,1389.75,25,240.29
2025-03-14,773.98,3,41.74
2024-08-04,17.44,1,1717.97
2025-11-14,1609.22,20,1378.74
2026-06-13,2331.99,14,2089.5
2025-01-15,576.43,2,1211.37
2024-12-27,510.2,2,1092.5
2025-08-03,1259.02,3,1155.7
2025-07-10,1177.57,18,475.92
2025-08-29,1349.2,10,150.54
2025-09-28,1450.82,8,1926.11
2025-12-16,1721.12,22,70.45
2025-11-27,1656.29,6,974.32
2025-05-21,1006.89,14,269.42
2025-09-16,1410.24,23,2403.0
2026-04-16,2132.75,20,2354.26
2025-03-08,752.98,25,1485.57
2026-04-05,2095.31,17,414.98
2025-09-30,1455.94,21,999.09
2026-03-14,2018.79,12,2077.04
2025-08-29,1347.9,8,1245.95
2025-03-02,734.15,11,1547.42
2026-07-26,2478.98,4,1282.13
2024-10-09,243.34,4,2205.19
2026-02-21,1949.53,4,1263.11
2025-10-17,1515.82,1,759.68
2026-04-18,2141.61,17,610.03
