order_id,customer_id,order_total,item_count,order_date,status
6111,662036,599.15,2,2025-11-27,confirmed
6112,615527,2148.05,20,2025-12-02,pending
6113,784204,770.87,12,2025-10-29,shipped
6114,5610,1775.95,10,2026-03-03,pending
6115,381217,2164.34,17,2024-08-03,confirmed
6116,707190,1294.33,19,2025-05-08,confirmed
6117,32947,1330.83,15,2026-01-05,confirmed
6118,933590,823.38,6,2024-08-23,shipped
6119,331380,861.75,8,2026-06-21,delivered
6120,522697,1678.1,20,2025-04-01,returned
6121,729830,793.0,6,2025-08-21,returned
6122,883026,1373.88,15,2026-01-21,cancelled
6123,924237,774.13,2,2026-05-15,delivered
6124,936802,743.3,8,2026-06-14,cancelled
6125,31709,1410.34,10,2026-06-24,returned
6126,218442,589.87,10,2024-08-22,pending
6127,912201,254.26,12,2025-01-08,returned
6128,831920,768.91,2,2026-06-05,shipped
6129,991580,1850.85,19,2026-04-07,delivered
6130,563782,729.85,25,2025-09-20,confirmed
6131,743419,1380.02,4,2026-01-31,delivered
6132,685798,1788.62,5,2025-12-20,delivered
6133,611423,1187.32,6,2025-10-26,cancelled
6134,622873,2039.85,13,2025-11-03,cancelled
6135,31452,1751.04,11,2024-08-22,returned
6136,545875,208.39,13,2025-09-07,returned
6137,957923,1645.79,10,2026-07-09,shipped
6138,525554,802.63,9,2025-08-23,delivered
6139,663976,1967.27,22,2025-12-04,confirmed
6140,669108,99.77,5,2025-12-07,returned
6141,442637,1471.17,16,2025-06-23,confirmed
6142,911537,1377.52,12,2026-06-05,returned
6143,783270,1177.54,3,2026-03-02,delivered
6144,53365,2484.79,17,2024-09-07,returned
6145,551449,730.63,23,2025-09-11,cancelled
6146,446994,453.43,8,2025-06-26,cancelled
6147,824624,307.77,15,2026-04-02,delivered
6148,111523,192.45,20,2024-10-20,returned
6149,122664,766.15,12,2024-10-29,delivered
6150,596225,481.15,15,2025-10-14,pending
6151,758083,1451.64,4,2026-02-11,cancelled
6152,533146,1793.52,11,2025-08-29,pending
6153,601859,209.68,16,2025-10-19,shipped
6154,234889,1637.9,23,2025-01-20,confirmed
6155,860679,1290.34,11,2026-04-28,shipped
6156,616004,2028.83,20,2025-10-29,confirmed
6157,910242,1582.36,20,2026-06-04,cancelled
6158,269184,619.72,17,2025-02-14,confirmed
6159,810471,514.13,4,2026-03-22,pending
6160,565445,1554.04,13,2025-09-22,pending
6161,172723,438.9,25,2024-12-05,shipped
6162,838302,1792.58,9,2026-04-12,delivered
6163,754295,727.07,25,2026-02-08,confirmed
6164,73717,2254.16,11,2024-09-22,cancelled
6165,84632,1012.88,19,2024-09-30,returned
6166,655531,874.17,23,2025-11-27,returned
6167,544970,2346.38,1,2025-09-06,delivered
6168,651619,1164.38,5,2025-11-24,confirmed
6169,811416,47.81,3,2026-03-23,shipped
6170,845511,1573.24,1,2026-04-17,delivered
6171,184132,345.68,7,2024-12-13,pending
6172,894405,851.92,19,2026-05-23,shipped
6173,575371,2368.85,1,2025-09-29,delivered
