revenue_date,gross_revenue,net_revenue,order_count,refund_amount
2026-01-14,1814.04,2328.95,24,1609.26
2026-04-07,2099.6,1185.26,15,2357.55
2026-07-18,2446.54,30.96,15,2109.78
2026-01-25,1853.71,1353.41,2,687.5
2024-11-09,345.11,370.62,24,155.95
2024-10-26,298.38,980.27,3,519.04
2024-11-18,376.42,312.49,1,506.06
2025-10-06,1474.42,42.29,13,1463.08
2025-05-12,971.57,333.12,22,1607.93
2024-08-31,105.56,186.98,6,745.36
2025-01-13,566.16,846.63,19,575.82
2026-06-23,2361.32,1493.72,13,1778.02
2025-12-17,1721.17,2280.79,9,1717.66
2025-03-15,773.55,1061.42,12,2343.15
2024-08-31,105.93,396.26,6,2162.98
2025-09-05,1369.64,2251.96,6,692.29
2026-07-09,2417.03,11.3,15,1135.52
2024-08-13,42.61,312.98,2,1732.7
2026-04-29,2173.36,1898.55,16,973.96
2026-01-21,1841.13,1442.58,4,2370.74
2025-04-30,931.81,1800.09,19,1369.5
2025-01-21,593.27,2247.67,4,2045.51
2025-01-13,566.25,1840.27,24,1747.08
2026-03-01,1973.41,517.48,22,1134.75
2025-09-03,1360.68,860.69,24,1081.42
2025-09-25,1435.51,1776.49,12,369.6
2025-07-31,1247.27,1666.3,7,38.26
2025-07-23,1217.05,2212.96,3,1569.58
2025-07-04,1153.97,2386.15,18,2130.23
2024-09-06,125.51,24.15,6,1887.72
2025-07-30,1242.62,1622.15,7,493.47
2025-09-03,1360.76,472.06,5,1999.03
2024-09-25,192.53,56.42,14,592.26
2025-02-18,688.73,2247.21,25,981.11
2025-03-09,753.3,1532.15,1,1903.1
2025-12-22,1737.9,932.26,13,1166.75
2025-04-01,833.71,1527.27,17,2078.07
2025-12-04,1675.86,476.87,3,1166.59
2025-04-01,832.3,1712.35,20,2153.01
2025-01-06,543.2,809.36,22,2088.57
2026-01-01,1772.52,1719.66,3,1678.08
2024-12-14,462.38,107.45,16,2119.11
2025-01-01,526.37,2101.31,17,2144.36
2025-06-27,1129.51,31.01,25,1778.45
2025-05-03,943.19,1496.93,23,680.99
2026-05-24,2259.59,1978.43,20,1074.2
2025-04-04,842.63,577.97,19,660.5
2025-03-16,779.28,1191.77,25,2181.45
2025-06-04,1052.79,445.46,1,326.87
2025-09-20,1419.84,1336.41,14,773.67
2025-03-08,749.95,2116.35,22,837.48
2025-03-21,794.91,883.61,21,28.89
2026-05-11,2214.89,2459.72,1,2154.43
2025-06-23,1115.08,1669.5,12,401.9
2024-11-10,346.8,834.83,22,1994.73
2025-10-10,1489.06,2160.05,13,593.21
2024-10-01,210.37,1918.85,20,1133.99
2026-05-25,2262.96,163.59,5,1147.85
2026-03-12,2009.1,1162.2,4,2036.79
2025-04-25,915.19,1589.29,19,1099.09
2026-07-26,2474.77,1614.26,12,2256.77
2025-10-16,1509.15,1346.01,17,204.55
2026-01-06,1788.58,1520.51,15,1773.86
2025-08-14,1294.4,2317.23,8,146.85
2025-03-30,824.38,1899.52,7,485.87
2025-05-06,952.95,983.47,10,2097.6
2024-08-26,88.9,464.37,19,1410.19
2024-11-09,345.48,831.37,19,328.22
2025-11-19,1624.25,2499.74,14,440.54
2026-04-07,2099.96,307.92,25,1564.45
2025-06-23,1116.62,1790.97,14,1773.06
2025-11-05,1577.06,327.4,4,1065.17
2026-05-02,2184.15,851.19,16,1173.72
2024-11-27,404.69,296.6,17,1678.1
2025-12-07,1686.01,2038.21,22,1507.45
2026-07-14,2432.03,168.07,3,461.51
2026-01-07,1790.91,2035.84,2,1324.37
2025-08-17,1304.62,1342.82,17,25.49
2026-05-06,2198.05,971.74,20,1206.28
2025-04-11,865.77,506.81,7,767.34
